Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket and distribution,Consumption,Total, Images
Dairy,Goat milk,2.97,1.2,0,0.1,0.21,0.01,0,1.52,"""img/Dairy/Goat_milk.png"""
Dairy,Cheddar cheese,1.79,5.31,0.35,0.63,0.27,0.04,0.01,6.59,"""img/Dairy/Cheddar.png"""
Dairy,Cow Milk,1.2,1.11,0.01,0.1,0.22,0.02,0,1.46,"""img/Dairy/Cow_milk.png"""
Dairy,Yogurt,1.22,1.03,0.15,0.42,0.25,0.04,0.01,1.89,"""img/Dairy/Yogurt.png"""
Dairy,Brie cheese,2.22,4.46,0.22,0.21,0.25,0.04,0.01,5.18,"""img/Dairy/Brie.png"""
Dairy,Feta cheese,2.38,5.11,0.25,0.65,0.26,0.04,0.01,6.3,"""img/Dairy/Feta.png"""
Dairy,Grana Padano,2.23,5.19,0.36,0.34,0.24,0.04,0.01,6.17,"""img/Dairy/Grana_Padano.png"""
Dairy,Mozzarella cheese,1.78,3.82,0.25,0.35,0.25,0.04,0.01,4.71,"""img/Dairy/Mozzarella.png"""
Dairy,Gouda cheese,2.21,4.99,0.38,0.63,0.27,0.04,0.01,6.3,"""img/Dairy/Gouda.png"""
Dairy,Parmesan cheese,1.77,5.23,0.36,0.34,0.24,0.04,0.01,6.21,"""img/Dairy/Parmesan.png"""
Dairy,Goat cheese ,2.44,5.99,0.25,0.6,0.27,0.04,0.01,7.14,"""img/Dairy/Goat_cheese.png"""
Fish,Anchovy,2.73,1.01,0,0.47,0.98,0.04,0.01,2.51,"""img/Fish/Anchovy.png"""
Fish,Mediterranean bass,2.94,10.7,0,0.47,1.09,0.04,0.01,12.3,"""img/Fish/Bass.png"""
Fish,Haddock,2.93,10.3,0,0.47,1.27,0.04,0.01,12,"""img/Fish/Haddock.png"""
Fish,Herring,2.74,1.18,0,0.47,0.98,0.04,0.01,2.68,"""img/Fish/Herring.png"""
Fish,Mackerel,2.74,1.15,0,0.47,0.95,0.04,0.01,2.62,"""img/Fish/Mackerel.png"""
Fish,Sardine,2.72,0.78,0,0.47,0.98,0.04,0.01,2.28,"""img/Fish/Sardine.png"""
Fish,Salmon,2.52,4.16,0.03,0.47,0.85,0.04,0.01,5.55,"""img/Fish/Salmon.png"""
Fish,Tuna,2.9,3.61,0,0.47,0.86,0.04,0.01,4.98,"""img/Fish/Tuna.png"""
Fish,Rainbow trout,2.93,4.67,0,0.47,0.98,0.04,0.01,6.17,"""img/Fish/Trout.png"""
